iter	Passed	Remaining
151	236	1322
152	237	1314
153	237	1307
154	238	1299
155	238	1292
156	239	1286
157	241	1286
158	242	1280
159	242	1274
160	243	1266
161	243	1259
162	244	1253
163	244	1246
164	244	1239
165	245	1233
166	245	1226
167	246	1220
168	246	1213
169	247	1207
170	247	1201
171	248	1195
172	248	1189
173	249	1183
174	249	1177
175	250	1171
176	250	1165
177	251	1159
178	251	1153
179	252	1148
180	252	1142
181	252	1136
182	253	1131
183	254	1126
184	255	1123
185	255	1119
186	256	1115
187	256	1109
188	257	1104
189	257	1099
190	258	1094
191	258	1089
192	259	1084
193	259	1079
194	260	1074
195	260	1069
196	261	1065
197	261	1060
198	262	1055
199	262	1050
200	263	1045
201	263	1041
202	264	1036
203	264	1032
204	264	1027
205	265	1023
206	265	1018
207	266	1014
208	266	1009
209	267	1005
210	267	1001
211	268	997
212	268	993
213	269	990
214	270	988
215	271	984
216	271	980
217	272	976
218	272	972
219	273	968
220	273	964
221	274	960
222	274	956
223	274	952
224	275	948
225	275	944
226	276	940
227	276	937
228	277	933
229	277	929
230	278	926
231	278	922
232	279	918
233	279	915
234	280	911
235	280	908
236	280	904
237	281	901
238	281	897
239	282	894
240	282	891
241	283	887
242	283	884
243	284	882
244	285	880
245	286	877
246	286	874
247	287	870
248	287	867
249	288	864
250	288	861
251	289	858
252	289	854
253	290	851
254	290	848
255	290	845
256	291	842
257	291	839
258	292	836
259	292	833
260	293	830
261	293	827
262	294	824
263	294	821
264	295	818
265	295	816
266	296	813
267	297	811
268	297	808
269	297	805
270	298	802
271	299	800
272	299	798
273	300	796
274	301	794
275	301	791
276	302	789
277	302	786
278	303	784
279	304	782
280	304	780
281	305	777
282	305	774
283	306	772
284	306	769
285	307	767
286	307	764
287	308	762
288	308	759
289	309	757
290	309	754
291	310	752
292	310	749
293	311	747
294	311	744
295	312	742
296	312	739
297	313	737
298	313	735
299	314	733
300	315	732
301	315	730
302	316	727
303	316	725
304	317	723
305	317	720
306	318	718
307	318	716
308	319	713
309	319	711
310	320	709
311	320	706
312	320	704
313	321	702
314	321	700
315	322	697
316	322	695
317	323	693
318	323	691
319	324	689
320	324	686
321	325	684
322	325	682
323	326	680
324	326	678
325	327	676
326	327	674
327	328	672
328	328	670
329	329	668
330	330	667
331	330	665
332	331	663
333	331	661
334	332	659
335	332	657
336	333	655
337	333	653
338	334	651
339	334	649
340	335	647
341	335	645
342	335	643
343	336	641
344	336	639
345	337	637
346	337	635
347	338	633
348	338	631
349	339	629
350	339	628
351	340	626
352	340	624
353	341	622
354	341	620
355	342	618
356	342	617
357	343	615
358	343	613
359	344	612
360	345	611
361	345	609
362	346	607
363	346	606
364	347	604
365	347	602
366	348	600
367	348	598
368	349	597
369	349	595
370	350	593
371	350	592
372	351	590
373	351	588
374	352	586
375	352	585
376	353	583
377	353	582
378	354	580
379	354	578
380	355	576
381	355	575
382	356	573
383	356	571
384	356	570
385	357	568
386	357	566
387	358	565
388	359	564
389	360	563
390	360	561
391	361	560
392	361	558
393	362	557
394	362	555
395	363	553
396	363	552
397	364	550
398	364	549
399	364	547
400	365	545
401	365	544
402	366	543
403	367	541
404	367	540
405	368	539
406	369	537
407	369	536
408	370	534
409	370	533
410	371	532
411	371	530
412	372	529
413	373	528
414	374	527
415	375	526
416	375	525
417	376	524
418	377	522
419	377	521
420	378	519
421	378	518
422	379	517
423	379	515
424	380	514
425	380	512
426	381	511
427	381	510
428	382	508
429	382	507
430	383	505
431	383	504
432	384	503
433	384	501
434	385	500
435	385	498
436	386	497
437	386	496
438	387	494
439	387	493
440	389	493
441	390	492
442	390	491
443	391	490
444	391	488
445	392	487
446	392	485
447	393	484
448	394	483
449	394	482
450	395	480
451	395	479
452	396	478
453	396	477
454	397	475
455	397	474
456	398	473
457	398	471
458	399	470
459	399	469
460	400	468
461	400	466
462	401	465
463	401	464
464	402	462
465	402	461
466	403	460
467	404	459
468	405	458
469	405	457
470	406	456
471	407	455
472	408	455
473	409	454
474	409	452
475	410	451
476	410	450
477	411	449
478	411	447
479	412	446
480	412	445
481	413	444
482	413	442
483	414	441
484	414	440
485	415	439
486	415	438
487	416	436
488	416	435
489	417	434
490	418	433
491	419	433
492	420	432
493	421	431
494	422	431
495	423	430
496	424	429
497	424	428
498	425	427
499	426	426
500	426	425
501	427	423
502	427	422
503	428	421
504	428	420
505	429	419
506	429	417
507	430	416
508	430	415
509	431	414
510	431	413
511	432	411
512	432	410
513	433	409
514	434	409
515	435	408
516	435	407
517	436	405
518	436	404
519	437	403
520	437	402
521	438	401
522	438	400
523	439	399
524	439	398
525	440	396
526	440	395
527	441	394
528	441	393
529	442	392
530	442	391
531	443	389
532	443	388
533	444	387
534	444	386
535	445	385
536	445	384
537	446	383
538	446	381
539	446	380
540	447	379
541	448	379
542	449	378
543	450	377
544	469	391
545	470	391
546	472	391
547	473	390
548	474	389
549	475	388
550	475	387
551	476	387
552	479	387
553	480	386
554	481	386
555	482	385
556	483	384
557	484	383
558	485	382
559	485	381
560	486	380
561	489	381
562	491	381
563	492	380
564	493	379
565	494	378
566	495	378
567	495	377
568	496	376
569	498	376
570	499	375
571	500	374
572	501	373
573	517	383
574	518	382
575	519	382
576	520	381
577	521	380
578	521	379
579	522	378
580	523	377
581	524	376
582	525	375
583	527	375
584	528	374
585	529	373
586	529	372
587	530	371
588	531	370
589	534	371
590	535	370
591	538	371
592	539	370
593	540	369
594	541	368
595	542	367
596	543	366
597	543	365
598	544	364
599	544	363
600	545	361
601	545	360
602	546	359
603	546	358
604	547	357
605	547	356
606	548	355
607	549	354
608	549	352
609	550	351
610	550	350
611	552	349
612	553	349
613	553	348
614	554	347
615	555	346
616	555	345
617	556	343
618	557	342
619	557	341
620	558	340
621	558	339
622	559	338
623	560	337
624	560	336
625	561	335
626	562	334
627	562	333
628	563	332
629	564	331
630	564	330
631	565	329
632	565	328
633	566	327
634	568	326
635	569	325
636	569	324
637	570	323
638	570	322
639	571	321
640	572	320
641	572	319
642	573	318
643	574	317
644	574	316
645	575	315
646	576	314
647	577	313
648	577	312
649	578	311
650	578	310
651	579	309
652	580	308
653	580	307
654	581	306
655	582	305
656	583	304
657	584	303
658	585	302
659	585	301
660	586	300
661	587	300
662	588	299
663	589	298
664	590	297
665	591	296
666	592	295
667	592	294
668	593	293
669	594	292
670	595	291
671	596	290
672	598	290
673	598	289
674	599	288
675	600	287
676	600	286
677	601	285
678	601	284
679	602	283
680	603	282
681	603	281
682	604	280
683	605	279
684	605	278
685	606	277
686	607	276
687	607	275
688	608	274
689	608	273
690	609	272
691	610	271
692	610	270
693	612	269
694	613	269
695	613	268
696	614	267
697	615	266
698	615	265
699	616	264
700	616	263
701	617	262
702	618	261
703	618	260
704	619	259
705	620	258
706	620	257
707	621	256
708	621	255
709	622	254
710	623	253
711	623	252
712	624	251
713	624	250
714	625	249
715	626	248
716	627	247
717	628	246
718	629	245
719	629	244
720	630	243
721	630	242
722	631	242
723	632	241
724	632	240
725	633	239
726	634	238
727	634	237
728	635	236
729	636	235
730	636	234
731	637	233
732	638	232
733	638	231
734	639	230
735	639	229
736	640	228
737	641	227
738	642	226
739	643	226
740	643	225
741	644	224
742	645	223
743	645	222
744	646	221
745	647	220
746	647	219
747	648	218
748	648	217
749	649	216
750	649	215
751	650	214
752	651	213
753	651	212
754	652	211
755	653	210
756	653	209
757	654	208
758	655	207
759	655	207
760	656	206
761	658	205
762	659	204
763	659	203
764	660	202
765	660	201
766	661	200
767	662	200
768	662	199
769	663	198
770	663	197
771	664	196
772	665	195
773	665	194
774	666	193
775	666	192
776	667	191
777	668	190
778	668	189
779	669	188
780	669	187
781	670	186
782	671	186
783	673	185
784	673	184
785	674	183
786	675	182
787	675	181
788	676	180
789	676	179
790	677	178
791	678	178
792	678	177
793	679	176
794	679	175
795	680	174
796	681	173
797	681	172
798	682	171
799	682	170
800	683	169
801	684	168
802	684	167
803	685	167
804	685	166
805	687	165
806	688	164
807	688	163
808	689	162
809	690	161
810	690	160
811	691	160
812	692	159
813	692	158
814	693	157
815	693	156
816	694	155
817	694	154
818	695	153
819	695	152
820	696	151
821	696	150
822	697	149
823	697	148
824	698	148
825	698	147
826	698	146
827	699	145
828	699	144
829	700	143
830	700	142
831	702	141
832	703	140
833	703	140
834	704	139
835	704	138
836	705	137
837	705	136
838	705	135
839	706	134
840	706	133
841	707	132
842	707	131
843	708	130
844	708	130
845	709	129
846	709	128
847	710	127
848	710	126
849	711	125
850	711	124
851	711	123
852	712	122
853	712	121
854	713	120
855	713	120
856	714	119
857	714	118
858	715	117
859	715	116
860	716	115
861	717	114
862	718	114
863	718	113
864	719	112
865	719	111
866	720	110
867	720	109
868	721	108
869	721	107
870	722	106
871	722	106
872	723	105
873	723	104
874	723	103
875	724	102
876	724	101
877	725	100
878	725	99
879	726	99
880	726	98
881	727	97
882	727	96
883	728	95
884	728	94
885	729	93
886	729	92
887	730	92
888	730	91
889	731	90
890	732	89
891	733	88
892	733	87
893	734	87
894	734	86
895	735	85
896	735	84
897	736	83
898	736	82
899	737	81
900	737	81
901	738	80
902	738	79
903	738	78
904	739	77
905	739	76
906	740	75
907	740	75
908	741	74
909	741	73
910	742	72
911	742	71
912	743	70
913	744	70
914	744	69
915	745	68
916	745	67
917	746	66
918	747	65
919	747	65
920	748	64
921	748	63
922	749	62
923	749	61
924	750	60
925	750	59
926	751	59
927	751	58
928	752	57
929	752	56
930	753	55
931	753	54
932	754	54
933	754	53
934	755	52
935	755	51
936	755	50
937	756	49
938	756	49
939	757	48
940	757	47
941	758	46
942	758	45
943	759	45
944	759	44
945	760	43
946	760	42
947	761	41
948	762	40
949	763	40
950	763	39
951	764	38
952	764	37
953	765	36
954	765	36
955	766	35
956	766	34
957	767	33
958	767	32
959	768	32
960	768	31
961	769	30
962	769	29
963	770	28
964	770	27
965	770	27
966	771	26
967	772	25
968	772	24
969	773	23
970	773	23
971	774	22
972	774	21
973	775	20
974	775	19
975	776	19
976	777	18
977	777	17
978	778	16
979	779	15
980	779	15
981	780	14
982	781	13
983	781	12
984	782	11
985	782	11
986	783	10
987	783	9
988	784	8
989	784	7
990	785	7
991	785	6
992	786	5
993	786	4
994	787	3
995	787	3
996	788	2
997	788	1
998	789	0
999	789	0
